old_species_id	No. genes	Assembly size	Major clade
Nakazawaea_peltata	5458	11653826	CUG-Ala
Pachysolen_tannophilus	5800	12597116	CUG-Ala
yHMPu5000034918_Nakazawaea_holstii	6206	13435275	CUG-Ala
yHMPu5000034884_Peterozyma_toletana	6276	13606243	CUG-Ala
yHMPu5000034883_Peterozyma_xylosa	5982	12923144	CUG-Ala
Ambrosiozyma_kashinagacola	5611	12320962	Pichiaceae
Ambrosiozyma_monospora	7752	24978438	Pichiaceae
Brettanomyces_anomalus	5423	12880761	Pichiaceae
Candida_arabinofermentans	5674	13234078	Pichiaceae
Candida_boidinii_JCM9604	6029	19377211	Pichiaceae
Candida_sorboxylosa	4456	10714862	Pichiaceae
Candida_succiphila	5254	12149879	Pichiaceae
Dekkera_bruxellensis	5600	13385232	Pichiaceae
Komagataella_pastoris	4831	9216378	Pichiaceae
Kuraishia_capsulata	5553	11371246	Pichiaceae
Ogataea_methanolica	5855	15086366	Pichiaceae
Ogataea_parapolymorpha	4518	8874589	Pichiaceae
Ogataea_polymorpha	4289	8974850	Pichiaceae
Pichia_membranifaciens	4969	11584685	Pichiaceae
yHMPu5000035675_Kregervanrija_fluxuum	6539	12511350	Pichiaceae
yHMPu5000035674_Kregervanrija_delftensis	6042	12319421	Pichiaceae
yHMPu5000035659_Saturnispora_dispora	4881	10041276	Pichiaceae
yHMPu5000035301_Pichia_terricola	5195	12231905	Pichiaceae
yHMPu5000035041_Ambrosiozyma_pseudovanderkliftii	5927	14405786	Pichiaceae
yHMPu5000035040_Ambrosiozyma_maleeae	5316	12729045	Pichiaceae
yHMPu5000034952_Citeromyces_siamensis	12786	24822662	Pichiaceae
yHMPu5000034950_Citeromyces_hawaiiensis	7349	19467171	Pichiaceae
yHMPu5000034947_Ambrosiozyma_philentoma	6975	17610060	Pichiaceae
yHMPu5000034946_Ambrosiozyma_oregonensis	6680	15162493	Pichiaceae
yHMPu5000034939_Komagataella_pseudopastoris	4604	9144759	Pichiaceae
yHMPu5000034933_Kuraishia_molischiana	5537	10348113	Pichiaceae
yHMPu5000034932_Kuraishia_ogatae	5573	14724767	Pichiaceae
yHMPu5000034904_Ogataea_nonfermentans	5798	10817711	Pichiaceae
yHMPu5000034903_Ogataea_naganishii	5340	11983479	Pichiaceae
yHMPu5000034902_Ogataea_minuta	4457	9073487	Pichiaceae
yHMPu5000034901_Ogataea_methylivora	6089	12827489	Pichiaceae
yHMPu5000034899_Ogataea_kodamae	4551	8662243	Pichiaceae
yHMPu5000034897_Ogataea_glucozyma	5858	13782209	Pichiaceae
yHMPu5000034893_Ogataea_philodendra	4715	8853085	Pichiaceae
yHMPu5000034892_Ogataea_pilisensis	5782	14231181	Pichiaceae
yHMPu5000034891_Ogataea_pini	5407	11559396	Pichiaceae
yHMPu5000034890_Ogataea_ramenticola	5890	12874473	Pichiaceae
yHMPu5000034887_Ogataea_trehaloabstinens	5641	11272638	Pichiaceae
yHMPu5000034886_Ogataea_trehalophila	5807	14114665	Pichiaceae
yHMPu5000034885_Ogataea_zsoltii	5466	11681642	Pichiaceae
yHMPu5000034637_Ogataea_populiabae	5489	11757698	Pichiaceae
yHMPu5000034636_Ogataea_nitratoaversa	5880	14178250	Pichiaceae
yHMPu5000034631_Martiniozyma_abiesophila	12589	14467199	Pichiaceae
yHMPu5000034629_Pichia_exigua	5064	11039527	Pichiaceae
yHMPu5000034627_Pichia_heedii	5208	10652863	Pichiaceae
yHMPu5000034625_Pichia_kudriavzevii	5217	11519810	Pichiaceae
yHMPu5000034624_Pichia_nakasei	4358	10374776	Pichiaceae
yHMPu5000034623_Pichia_norvegensis	5054	10154755	Pichiaceae
yHMPu5000034622_Pichia_occidentalis	5456	11933971	Pichiaceae
yHMPu5000034615_Saturnispora_zaruensis	5023	9812301	Pichiaceae
yHMPu5000034614_Saturnispora_silvae	4587	9258257	Pichiaceae
yHMPu5000034613_Saturnispora_serradocipensis	5005	10212926	Pichiaceae
yHMPu5000034612_Saturnispora_saitoi	4910	9822062	Pichiaceae
yHMPu5000034611_Saturnispora_mendoncae	4657	9008340	Pichiaceae
yHMPu5000034610_Saturnispora_hagleri	5018	10223651	Pichiaceae
yHMPu5000026274_Komagataella_populi	4885	9191048	Pichiaceae
yHMPu5000026197_Brettanomyces_custersianus	5062	10422777	Pichiaceae
yHMPu5000026145_Ambrosiozyma_vanderkliftii	5988	14502744	Pichiaceae
yHMPu5000026142_Citeromyces_matritensis	7868	20102375	Pichiaceae
yHMPu5000026137_Ambrosiozyma_ambrosiae	6191	14846774	Pichiaceae
yHMPu5000026124_Ogataea_henricii	5567	12537109	Pichiaceae
Babjeviella_inositovora	5752	15221050	CUG-Ser1
Candida_albicans	6226	14323546	CUG-Ser1
Candida_auris	5207	12498763	CUG-Ser1
Candida_carpophila	4920	10242926	CUG-Ser1
Candida_dubliniensis	5949	14618422	CUG-Ser1
Candida_homilentoma	5435	12176763	CUG-Ser1
Candida_intermedia	5533	13027022	CUG-Ser1
Candida_orthopsilosis	5212	12659401	CUG-Ser1
Candida_parapsilosis	5280	12998393	CUG-Ser1
Candida_sojae	5083	11747307	CUG-Ser1
Candida_tanzawaensis	5321	13136204	CUG-Ser1
Candida_tenuis	4945	10747050	CUG-Ser1
Candida_tropicalis	5975	14630139	CUG-Ser1
Clavispora_lusitaniae	5149	12114892	CUG-Ser1
Debaryomyces_hansenii	5806	12152486	CUG-Ser1
Hyphopichia_burtonii	5189	12403110	CUG-Ser1
Lodderomyces_elongisporus	5924	15547272	CUG-Ser1
Metschnikowia_aberdeeniae	4807	10656682	CUG-Ser1
Metschnikowia_arizonensis	5892	16205179	CUG-Ser1
Metschnikowia_bicuspidata	5241	16055203	CUG-Ser1
Metschnikowia_borealis	6574	20333103	CUG-Ser1
Metschnikowia_bowlesiae	5826	17200370	CUG-Ser1
Metschnikowia_cerradonensis	6801	20697184	CUG-Ser1
Metschnikowia_continentalis	6668	21835504	CUG-Ser1
Metschnikowia_dekortum	5408	16312347	CUG-Ser1
Metschnikowia_drakensbergensis	5078	11870191	CUG-Ser1
Metschnikowia_hamakuensis	6342	18740519	CUG-Ser1
Metschnikowia_hawaiiensis	6220	18362991	CUG-Ser1
Metschnikowia_hibisci	5119	11317242	CUG-Ser1
Metschnikowia_ipomoeae	6107	18900759	CUG-Ser1
Metschnikowia_kamakouana	5586	15649791	CUG-Ser1
Metschnikowia_kipukae	5084	11235020	CUG-Ser1
Metschnikowia_lockheadii	6718	19755431	CUG-Ser1
Metschnikowia_matae	7279	21331602	CUG-Ser1
Metschnikowia_matae_maris	7336	21177031	CUG-Ser1
Metschnikowia_mauinuiana	6060	17273017	CUG-Ser1
Metschnikowia_proteae	5184	12406250	CUG-Ser1
Metschnikowia_santaceciliae	6489	20387451	CUG-Ser1
Metschnikowia_shivogae	4902	10722219	CUG-Ser1
Metschnikowia_similis	5654	17261052	CUG-Ser1
Meyerozyma_guilliermondii	5010	10609954	CUG-Ser1
Millerozyma_acaciae	4893	11065882	CUG-Ser1
Priceomyces_haplophilus	4983	10517128	CUG-Ser1
Scheffersomyces_lignosus	6075	16592489	CUG-Ser1
Scheffersomyces_stipitis	5995	15441079	CUG-Ser1
Spathaspora_arborariae	5749	12870582	CUG-Ser1
Spathaspora_girioi	6733	14406387	CUG-Ser1
Spathaspora_gorwiae	6678	14788824	CUG-Ser1
Spathaspora_hagerdaliae	6953	16495406	CUG-Ser1
Spathaspora_passalidarum	5666	13182099	CUG-Ser1
Wickerhamia_fluorescens	5297	13178500	CUG-Ser1
yHMPu5000041863_Candida_gorgasii	5577	11328227	CUG-Ser1
yHMPu5000041862_Candida_golubevii	5700	14776713	CUG-Ser1
yHMPu5000041855_Candida_ascalaphidarum	4959	10410731	CUG-Ser1
yHMPu5000041840_Candida_wancherniae	4825	10260315	CUG-Ser1
yHMPu5000041833_Candida_tammaniensis	5523	10779561	CUG-Ser1
yHMPu5000041829_Debaryomyces_fabryi	5618	11866120	CUG-Ser1
yHMPu5000041824_Debaryomyces_subglobosus	5552	11499234	CUG-Ser1
yHMPu5000041743_Candida_hawaiiana	5098	11848248	CUG-Ser1
yHMPu5000041713_Debaryomyces_maramus	5559	11038987	CUG-Ser1
yHMPu5000041693_Debaryomyces_nepalensis	5575	11427799	CUG-Ser1
yHMPu5000041678_Debaryomyces_prosopidis	6201	12878943	CUG-Ser1
yHMPu5000035707_Candida_heveicola	5216	13065558	CUG-Ser1
yHMPu5000035681_Candida_gotoi	5752	13294897	CUG-Ser1
yHMPu5000035679_Candida_rhagii	5587	12380707	CUG-Ser1
yHMPu5000035677_Kodamaea_ohmeri	5362	12356549	CUG-Ser1
yHMPu5000035667_Kurtzmaniella_cleridarum	5478	12089939	CUG-Ser1
yHMPu5000035662_Meyerozyma_caribbica	5027	10430037	CUG-Ser1
yHMPu5000035641_Yamadazyma_scolyti	5207	11281806	CUG-Ser1
yHMPu5000035640_Yamadazyma_philogaea	4854	11099299	CUG-Ser1
yHMPu5000035335_Candida_blattae	5526	12070944	CUG-Ser1
yHMPu5000035318_Hyphopichia_heimii	5882	12899338	CUG-Ser1
